package,downloads_last_month,camp,is_tidy,has_master_help,num_vignettes
blob,135280,tidy_adjacent,TRUE,FALSE,0
broom,412455,tidy_adjacent,TRUE,TRUE,7
dplyr,1098472,tidy_core,TRUE,TRUE,5
forcats,362094,tidy_core,TRUE,TRUE,1
ggplot2,985923,tidy_core,TRUE,TRUE,3
glue,813331,tidy_adjacent,TRUE,FALSE,2
googledrive,4380,tidy_adjacent,TRUE,TRUE,0
haven,386550,tidy_adjacent,TRUE,FALSE,2
hms,591896,tidy_adjacent,TRUE,TRUE,0
lubridate,587482,tidy_adjacent,TRUE,TRUE,1
magrittr,3395593,tidy_adjacent,TRUE,TRUE,1
purrr,716141,tidy_core,TRUE,TRUE,1
readr,479400,tidy_core,TRUE,TRUE,2
readxl,453301,tidy_adjacent,TRUE,TRUE,2
stringr,769469,tidy_core,TRUE,TRUE,2
tibble,889087,tidy_core,TRUE,TRUE,2
tidyr,755244,tidy_core,TRUE,TRUE,5
askpass,412092,non_tidy,FALSE,FALSE,0
aws.s3,2809121,non_tidy,FALSE,TRUE,0
backports,878563,non_tidy,FALSE,TRUE,0
BH,591302,non_tidy,FALSE,TRUE,0
crosstalk,479160,non_tidy,FALSE,FALSE,0
digest,1012313,non_tidy,FALSE,FALSE,1
fansi,742340,non_tidy,FALSE,TRUE,1
htmltools,813889,non_tidy,FALSE,FALSE,0
ini,383923,non_tidy,FALSE,FALSE,0
lifecycle,591701,non_tidy,FALSE,FALSE,1
ore,4383,non_tidy,FALSE,FALSE,0
plyr,768509,non_tidy,FALSE,TRUE,0
Rcpp,1045559,non_tidy,FALSE,TRUE,9
rlist,135813,non_tidy,FALSE,TRUE,0
rvest,359297,non_tidy,FALSE,TRUE,1
stringi,708269,non_tidy,FALSE,TRUE,0
sys,456575,non_tidy,FALSE,FALSE,0
