package,downloads_last_month,camp,is_tidy
blob,135280,tidy_adjacent,TRUE
broom,412455,tidy_adjacent,TRUE
dplyr,1098472,tidy_core,TRUE
forcats,362094,tidy_core,TRUE
ggplot2,985923,tidy_core,TRUE
glue,813331,tidy_adjacent,TRUE
googledrive,4380,tidy_adjacent,TRUE
haven,386550,tidy_adjacent,TRUE
hms,591896,tidy_adjacent,TRUE
lubridate,587482,tidy_adjacent,TRUE
magrittr,3395593,tidy_adjacent,TRUE
purrr,716141,tidy_core,TRUE
readr,479400,tidy_core,TRUE
readxl,453301,tidy_adjacent,TRUE
stringr,769469,tidy_core,TRUE
tibble,889087,tidy_core,TRUE
tidyr,755244,tidy_core,TRUE
askpass,412092,non_tidy,FALSE
aws.s3,2809121,non_tidy,FALSE
backports,878563,non_tidy,FALSE
BH,591302,non_tidy,FALSE
crosstalk,479160,non_tidy,FALSE
digest,1012313,non_tidy,FALSE
fansi,742340,non_tidy,FALSE
htmltools,813889,non_tidy,FALSE
ini,383923,non_tidy,FALSE
lifecycle,591701,non_tidy,FALSE
ore,4383,non_tidy,FALSE
plyr,768509,non_tidy,FALSE
Rcpp,1045559,non_tidy,FALSE
rlist,135813,non_tidy,FALSE
rvest,359297,non_tidy,FALSE
stringi,708269,non_tidy,FALSE
sys,456575,non_tidy,FALSE
